date,BEV_Registrations,Total_Vehicle_Registrations,BEV_Share,Charging_Infrastructure,RHDI_per_head,CPI,Petrol_Price,PiCG_Amount_GBP,picg_active,GT_Awareness_General,GT_Awareness_Consideration,GT_Infrastructure_Concern,GT_Range_Anxiety
2023-01-31,30000,234100,0.1281503630926954,38333,5765.6667,126.4,149.21,0.0,0,64,55,65,65
2023-02-28,28200,177200,0.1591422121896162,39181,5746.3333,127.9,147.93,0.0,0,54,50,57,51
2023-03-31,62600,391700,0.1598161858565228,40120,5727.0,128.9,146.73,0.0,0,54,46,62,49
2023-04-30,35600,235400,0.1512319456244689,41383,5750.6667,130.4,145.83,0.0,0,52,48,61,48
2023-05-31,41100,248200,0.1655922643029814,42702,5774.3333,131.3,144.45,0.0,0,50,45,51,47
2023-06-30,49200,280800,0.1752136752136752,43977,5798.0,131.5,143.0,0.0,0,51,44,62,43
2023-07-31,38600,247700,0.1558336697618086,45716,5792.6667,130.9,143.23,0.0,0,58,53,60,55
2023-08-31,36400,189700,0.1918819188191882,47468,5787.3333,131.3,148.52,0.0,0,56,49,60,53
2023-09-30,61600,377500,0.1631788079470198,49163,5782.0,132.0,153.57,0.0,0,59,52,50,55
2023-10-31,39200,257900,0.1519968980224893,50673,5793.0,132.0,155.13,0.0,0,53,45,49,47
2023-11-30,39400,261300,0.1507845388442403,52127,5804.0,131.7,151.02,0.0,0,46,39,54,41
2023-12-31,46700,244400,0.1910801963993453,53629,5815.0,132.2,142.84,0.0,0,45,44,45,47
2024-01-31,35200,246900,0.1425678412312677,55653,5836.3333,131.5,139.86,0.0,0,54,49,55,52
2024-02-29,31800,189300,0.1679873217115689,57563,5857.6667,132.3,142.16,0.0,0,51,53,48,45
2024-03-31,63500,422600,0.1502602934216753,59604,5879.0,133.0,144.8,0.0,0,49,49,54,42
2024-04-30,39200,237600,0.1649831649831649,61251,5896.6667,133.5,148.07,0.0,0,47,49,52,43
2024-05-31,43100,252100,0.1709639032130107,62942,5914.3333,133.9,148.81,0.0,0,44,46,42,41
2024-06-30,52800,282700,0.1867704280155642,64577,5932.0,134.1,145.76,0.0,0,42,45,43,38
