date,bev_units,total_cars,bev_share,bev_units_log,source_flag,low_flag
2021-03-31,29700,387100,0.07672436063032809,10.298902324790792,UK_total,0
2021-04-30,15600,243300,0.06411837237977805,9.655026193237628,UK_total,0
2021-05-31,21300,257800,0.082622187742436,9.966462351697517,UK_total,0
2021-06-30,30400,288000,0.10555555555555556,10.322197887394314,UK_total,0
2021-07-31,19800,225600,0.08776595744680851,9.893437216682626,UK_total,0
2021-08-31,17900,170100,0.10523221634332745,9.792555991828847,UK_total,0
2021-09-30,47700,318300,0.14985862393967955,10.772686676876432,UK_total,0
2021-10-31,30800,209400,0.14708691499522444,10.335269968961667,UK_total,0
2021-11-30,39900,219500,0.18177676537585422,10.594131602877955,UK_total,0
2021-12-31,52500,211400,0.24834437086092714,10.868568448579715,UK_total,0
2022-01-31,26600,218200,0.12190650779101742,10.188666494769791,UK_total,0
2022-02-28,27300,161700,0.16883116883116883,10.21464198117305,UK_total,0
2022-03-31,55200,347200,0.15898617511520738,10.918718232265187,UK_total,0
2022-04-30,23500,221700,0.10599909788001805,10.06475570013225,UK_total,0
2022-05-31,27600,227100,0.1215323645970938,10.225571051705241,UK_total,0
2022-06-30,38300,244200,0.15683865683865683,10.553205175168737,UK_total,0
2022-07-31,23000,215600,0.10667903525046382,10.043249494911286,UK_total,0
2022-08-31,23600,172300,0.13697040046430645,10.069001991013701,UK_total,0
2022-09-30,54700,329500,0.1660091047040971,10.909618988410072,UK_total,0
2022-10-31,34200,237600,0.14393939393939395,10.439980923050696,UK_total,0
2022-11-30,49500,246400,0.20089285714285715,10.809727948556782,UK_total,0
2022-12-31,74600,230800,0.32322357019064124,11.219895786191852,UK_total,0
2023-01-31,30000,234100,0.12815036309269542,10.308952660644293,UK_total,0
2023-02-28,28200,177200,0.15914221218961624,10.247077256926206,UK_total,0
2023-03-31,62600,391700,0.15981618585652285,11.04452055708819,UK_total,0
2023-04-30,35600,235400,0.15123194562446898,10.480100916840122,UK_total,0
2023-05-31,41100,248200,0.16559226430298146,10.623763400484325,UK_total,0
2023-06-30,49200,280800,0.1752136752136752,10.803648902480399,UK_total,0
2023-07-31,38600,247700,0.15583366976180865,10.561007555452923,UK_total,0
2023-08-31,36400,189700,0.1918819188191882,10.502324053624832,UK_total,0
2023-09-30,61600,377500,0.16317880794701986,11.02841714952161,UK_total,0
2023-10-31,39200,257900,0.15199689802248934,10.576432025778553,UK_total,0
2023-11-30,39400,261300,0.15078453884424034,10.581521095286025,UK_total,0
2023-12-31,46700,244400,0.19108019639934534,10.75149944365699,UK_total,0
2024-01-31,35200,246900,0.14256784123126773,10.468801361586188,UK_total,0
2024-02-29,31800,189300,0.16798732171156894,10.367221568768269,UK_total,0
2024-03-31,63500,422600,0.15026029342167535,11.058795184880783,UK_total,0
2024-04-30,39200,237600,0.16498316498316498,10.576432025778553,UK_total,0
2024-05-31,43100,252100,0.17096390321301072,10.671278276091838,UK_total,0
2024-06-30,52800,282700,0.1867704280155642,10.874266469694353,UK_total,0
