date,BEV_Registrations,Total_Vehicle_Registrations,BEV_Share,Charging_Infrastructure,RHDI_per_head,CPI,Petrol_Price,PiCG_Amount_GBP,GT_Index,market_share,market_share_pct,bev_growth_rate,bev_growth_rate_annual,growth_acceleration,cumulative_bev,adoption_velocity,market_momentum,month,quarter,is_march,is_september,is_plate_month,policy_regime,policy_change,policy_introduction,policy_reduction,policy_removal,policy_stable,months_since_policy_change,pre_2016,policy_active,post_policy,real_income_index,income_growth,inflation_rate,high_inflation,fuel_cost_advantage,fuel_price_normalized,high_fuel_prices,economic_stress,year,time_trend,time_trend_squared,covid_period,interest_momentum,interest_volatility,high_interest
2015-11-30,1200,281800,0.0042583392476933,3525,5734.6667,100.3,107.19,5000.0,-1.565608827364959,0.0042583392476933,0.42583392476932996,0.09090909090909083,0.19999999999999996,0.5119617224880382,31332,0.30696161682078366,0.8106624118525986,11,4,0,0,0,Medium_Grant,0.0,0,0,0,1,57.95006570302234,1,1,0,5717.514157527417,5.8141022252655716e-05,0.19980019980019303,0,-0.019374285714285715,-1.4124512231946722,0,0,2015,59,3481,0,-1.4034662427503433,0.13066286257224516,0
2015-12-31,2300,283000,0.0081272084805653,3667,5735.0,100.3,103.8,5000.0,-1.3252157454090103,0.0081272084805653,0.81272084805653,0.9166666666666667,0.3529411764705883,0.8257575757575759,33632,0.32501717237633926,0.855819980341821,12,4,0,0,0,Medium_Grant,0.0,0,0,0,1,58.96846254927726,1,1,0,5717.846460618146,5.812020426598785e-05,0.19980019980019303,0,-0.020342857142857145,-1.6265782001072095,0,0,2015,60,3600,0,-1.400858265950481,0.13795895472005051,0
2016-01-31,900,272100,0.0033076074972436,3752,5722.0,99.5,101.78,5000.0,-1.329188783094935,0.0033076074972436,0.33076074972436004,-0.6086956521739131,0.125,-1.5253623188405798,34532,0.3184101817540033,0.8702927652253709,1,1,0,0,0,Medium_Grant,0.0,0,0,0,1,59.98685939553219,0,1,0,5750.753768844222,0.005755192702834089,0.20140986908359082,0,-0.02092,-1.7541700860550928,0,0,2016,61,3721,0,-1.4066711186229686,0.1426066774823657,0
2016-02-29,500,186400,0.0026824034334763,3830,5709.0,99.8,101.43,5000.0,-1.3345809720628474,0.0026824034334763,0.26824034334763,-0.4444444444444444,-0.16666666666666663,0.16425120772946866,35032,0.3022064780502996,0.9244672103294429,2,1,0,0,0,Medium_Grant,0.0,0,0,0,1,60.939553219448094,0,1,0,5720.440881763527,-0.005271115457058939,0.3015075376884502,0,-0.021020000000000004,-1.7762775910460624,0,0,2016,62,3844,0,-1.3296618335222645,0.09785374045680363,0
2016-03-31,2900,622100,0.0046616299630284,3913,5696.0,100.2,102.29,4500.0,-1.4606990572825211,0.0046616299630284,0.46616299630283997,4.8,0.26086956521739135,5.2444444444444445,37932,0.4660953669391885,2.073845095811288,3,1,1,0,1,Medium_Grant,-500.0,0,1,0,0,0.0,0,1,0,5684.630738522954,-0.0062600320466091874,0.5015045135406293,0,-0.020774285714285714,-1.7219562930682506,0,0,2016,63,3969,0,-1.3748229374801015,0.10285731730969119,0
2016-04-30,900,291100,0.0030917210580556,4074,5691.6667,100.2,105.86,4500.0,-1.3345348516649598,0.0030917210580556,0.30917210580556,-0.6896551724137931,0.125,-5.4896551724137925,38832,0.4629719286583289,2.1061086243871787,4,2,0,0,0,Medium_Grant,0.0,0,0,0,1,0.9855453350854139,0,1,0,5680.3060878243505,-0.0007607619382022923,0.30030030030030463,0,-0.019754285714285717,-1.4964597421603578,0,0,2016,64,4096,0,-1.3766049603367765,0.09986327952838384,0
2016-05-31,800,306200,0.0026126714565643,4244,5687.3333,100.4,108.69,4500.0,-1.3518973851080467,0.0026126714565643,0.26126714565643,-0.11111111111111116,-0.11111111111111116,0.578544061302682,39632,0.44329600273240305,2.118936972616683,5,2,0,0,0,Medium_Grant,0.0,0,0,0,1,2.0039421813403417,0,1,0,5664.674601593625,-0.002751873928806603,0.29970029970030065,0,-0.018945714285714288,-1.3177047732333724,0,0,2016,65,4225,0,-1.3823770980185095,0.052086007343192596,0
2016-06-30,1400,358400,0.00390625,4408,5683.0,100.6,111.02,4500.0,-1.3775664346573977,0.00390625,0.390625,0.75,0.07692307692307687,0.8611111111111112,41032,0.46875896569536596,2.1157343810553395,6,2,0,0,0,Medium_Grant,0.0,0,0,0,1,2.9894875164257555,0,1,0,5649.1053677932405,-0.0027484780495607986,0.39920159680637557,0,-0.018280000000000005,-1.170531954293487,0,0,2016,66,4356,0,-1.354666223810135,0.050246189323028115,0
2016-07-31,700,281500,0.0024866785079928,4515,5666.6667,100.6,111.79,4500.0,-1.682361685930796,0.0024866785079928,0.24866785079928003,-0.5,0.16666666666666674,-1.25,41732,0.47196409390049415,2.103580942074112,7,3,0,0,0,Medium_Grant,0.0,0,0,0,1,4.0078843626806835,0,1,0,5632.869483101392,-0.0028740629948970087,0.6000000000000005,0,-0.01806,-1.1218954433133528,0,0,2016,67,4489,0,-1.470608501898747,0.13524148179346954,0
2016-08-31,600,184700,0.0032485110990795,4620,5650.3333,100.9,110.03,4500.0,-1.497152484767697,0.0032485110990795,0.32485110990795,-0.1428571428571429,-0.1428571428571429,0.3571428571428571,42332,0.44617044310684334,2.0760775517814847,8,3,0,0,0,Medium_Grant,0.0,0,0,0,1,5.026281208935611,0,1,0,5599.9338949454905,-0.005847035557047464,0.5982053838484713,0,-0.018562857142857145,-1.2330646112679446,0,0,2016,68,4624,0,-1.5190268684519637,0.1300228964215479,0
2016-09-30,2700,572500,0.0047161572052401,4722,5634.0,101.1,111.23,4500.0,-1.565608827364959,0.0047161572052401,0.47161572052401,3.5,0.42105263157894735,3.642857142857143,45032,0.5949799669163672,1.5657747722425552,9,3,0,1,1,Medium_Grant,0.0,0,0,0,1,6.011826544021025,0,1,0,5572.700296735906,-0.0048631999449432195,0.8982035928143617,0,-0.01822,-1.1572674512989047,0,0,2016,69,4761,0,-1.5817076660211509,0.13841897702106934,0
2016-10-31,600,282000,0.002127659574468,4851,5622.0,101.2,113.79,4500.0,-1.3317627326066284,0.002127659574468,0.21276595744680002,-0.7777777777777778,-0.4545454545454546,-4.277777777777778,45632,0.565252871399798,1.5791585105931893,10,4,0,0,0,Medium_Grant,0.0,0,0,0,1,7.030223390275952,0,1,0,5555.335968379446,-0.0031159630756799617,0.8973080757726848,0,-0.01748857142857143,-0.9955668433649532,0,0,2016,70,4900,0,-1.4648413482464282,0.13895788491311326,0
